date,TAVG_origQcFlag,TAVG_origValue,TAVG_qaFlag,TAVG_qcFlag,TAVG_value,WTEQ_average,WTEQ_origQcFlag,WTEQ_origValue,WTEQ_qaFlag,WTEQ_qcFlag,WTEQ_value,CFS,unit_of_measure,status
1990-04-30,V,16.5,,V,16.5,26.2,V,25.0,,V,25.0,958,ft^3/s,Approved
1990-05-01,V,24.4,,V,24.4,26.2,V,25.0,,V,25.0,866,ft^3/s,Approved
1990-05-02,V,28.2,,V,28.2,26.2,V,25.5,,V,25.5,912,ft^3/s,Approved
1990-05-03,V,32.7,,V,32.7,26.1,V,25.6,,V,25.6,888,ft^3/s,Approved
1990-05-04,V,34.2,,V,34.2,26.0,V,25.4,,V,25.4,907,ft^3/s,Approved
1990-05-05,V,38.8,,V,38.8,25.9,V,25.0,,V,25.0,996,ft^3/s,Approved
1990-05-06,V,41.2,,V,41.2,25.9,V,24.8,,V,24.8,1300,ft^3/s,Approved
1990-05-07,V,22.6,,V,22.6,25.8,V,24.8,,V,24.8,1710,ft^3/s,Approved
1990-05-08,V,19.9,,V,19.9,25.7,V,25.0,,V,25.0,1500,ft^3/s,Approved
1990-05-09,V,26.2,,V,26.2,25.8,V,25.0,,V,25.0,1360,ft^3/s,Approved
1990-05-10,V,31.3,,V,31.3,25.7,V,24.9,,V,24.9,1280,ft^3/s,Approved
1990-05-11,V,28.8,,V,28.8,25.6,V,25.0,,V,25.0,1280,ft^3/s,Approved
1990-05-12,V,29.8,,V,29.8,25.5,V,25.6,,V,25.6,1200,ft^3/s,Approved
1990-05-13,V,29.5,,V,29.5,25.2,V,26.2,,V,26.2,1250,ft^3/s,Approved
1990-05-14,V,30.7,,V,30.7,24.9,V,27.0,,V,27.0,1230,ft^3/s,Approved
1990-05-15,V,23.9,,V,23.9,24.5,V,27.6,,V,27.6,1280,ft^3/s,Approved
1990-05-16,V,29.1,,V,29.1,24.3,V,27.6,,V,27.6,1190,ft^3/s,Approved
1990-05-17,V,32.0,,V,32.0,24.1,V,27.6,,V,27.6,1160,ft^3/s,Approved
1990-05-18,V,33.1,,V,33.1,23.8,V,27.7,,V,27.7,1190,ft^3/s,Approved
1990-05-19,V,29.5,,V,29.5,23.4,V,28.2,,V,28.2,1270,ft^3/s,Approved
1990-05-20,V,33.4,,V,33.4,23.1,V,28.2,,V,28.2,1300,ft^3/s,Approved
1990-05-21,V,35.2,,V,35.2,22.8,V,28.1,,V,28.1,1320,ft^3/s,Approved
1990-05-22,V,38.1,,V,38.1,22.6,V,28.0,,V,28.0,1400,ft^3/s,Approved
1990-05-23,V,41.7,,V,41.7,22.3,V,27.4,,V,27.4,1670,ft^3/s,Approved
1990-05-24,V,34.0,,V,34.0,22.0,V,27.8,,V,27.8,2210,ft^3/s,Approved
1990-05-25,V,28.4,,V,28.4,21.6,V,28.0,,V,28.0,2250,ft^3/s,Approved
1990-05-26,V,32.9,,V,32.9,21.2,V,27.9,,V,27.9,1950,ft^3/s,Approved
1990-05-27,V,38.5,,V,38.5,20.7,V,27.3,,V,27.3,1830,ft^3/s,Approved
1990-05-28,V,41.5,,V,41.5,20.2,V,26.8,,V,26.8,1950,ft^3/s,Approved
1990-05-29,V,39.0,,V,39.0,19.7,V,26.1,,V,26.1,2380,ft^3/s,Approved
1990-05-30,V,38.1,,V,38.1,19.2,V,25.6,,V,25.6,2670,ft^3/s,Approved
1990-05-31,V,35.8,,V,35.8,18.6,V,25.2,,V,25.2,2740,ft^3/s,Approved
1990-06-01,V,32.2,,V,32.2,18.0,V,24.8,,V,24.8,2450,ft^3/s,Approved
1990-06-02,V,33.1,,V,33.1,17.3,V,24.6,,V,24.6,2180,ft^3/s,Approved
1990-06-03,V,37.9,,V,37.9,16.6,V,24.0,,V,24.0,1980,ft^3/s,Approved
1990-06-04,V,38.5,,V,38.5,15.8,V,23.5,,V,23.5,2110,ft^3/s,Approved
1990-06-05,V,36.7,,V,36.7,15.0,V,22.6,,V,22.6,2250,ft^3/s,Approved
1990-06-06,V,39.2,,V,39.2,14.4,V,21.9,,V,21.9,2260,ft^3/s,Approved
1990-06-07,V,37.6,,V,37.6,13.8,V,20.9,,V,20.9,2590,ft^3/s,Approved
1990-06-08,V,38.1,,V,38.1,13.3,V,20.3,,V,20.3,2700,ft^3/s,Approved
1990-06-09,V,44.4,,V,44.4,12.8,V,18.8,,V,18.8,2680,ft^3/s,Approved
1990-06-10,V,41.7,,V,41.7,12.3,V,17.9,,V,17.9,3840,ft^3/s,Approved
1990-06-11,V,34.9,,V,34.9,11.9,V,17.4,,V,17.4,4800,ft^3/s,Approved
1990-06-12,V,33.1,,V,33.1,11.3,V,17.3,,V,17.3,3610,ft^3/s,Approved
1990-06-13,V,31.3,,V,31.3,10.7,V,16.9,,V,16.9,2910,ft^3/s,Approved
1990-06-14,V,32.2,,V,32.2,10.1,V,17.4,,V,17.4,2630,ft^3/s,Approved
1990-06-15,V,34.7,,V,34.7,9.5,V,16.9,,V,16.9,2600,ft^3/s,Approved
1990-06-16,V,35.8,,V,35.8,8.8,V,16.4,,V,16.4,2560,ft^3/s,Approved
1990-06-17,V,38.7,,V,38.7,8.2,V,15.5,,V,15.5,2510,ft^3/s,Approved
1990-06-18,V,38.8,,V,38.8,7.5,V,14.7,,V,14.7,2690,ft^3/s,Approved
1990-06-19,V,38.7,,V,38.7,6.9,V,14.0,,V,14.0,2930,ft^3/s,Approved
1990-06-20,V,40.6,,V,40.6,6.2,V,13.1,,V,13.1,2880,ft^3/s,Approved
1990-06-21,V,43.0,,V,43.0,5.5,V,11.8,,V,11.8,3080,ft^3/s,Approved
1990-06-22,V,46.2,,V,46.2,5.0,V,10.6,,V,10.6,3220,ft^3/s,Approved
1990-06-23,V,48.4,,V,48.4,4.4,V,9.3,,V,9.3,3440,ft^3/s,Approved
1990-06-24,V,45.5,,V,45.5,3.9,V,8.1,,V,8.1,3620,ft^3/s,Approved
1990-06-25,V,46.4,,V,46.4,3.4,V,7.0,,V,7.0,3600,ft^3/s,Approved
1990-06-26,V,46.8,,V,46.8,2.9,V,5.8,,V,5.8,3420,ft^3/s,Approved
1990-06-27,V,49.5,,V,49.5,2.5,V,4.6,,V,4.6,3270,ft^3/s,Approved
1990-06-28,V,49.5,,V,49.5,2.1,V,3.4,,V,3.4,3010,ft^3/s,Approved
1990-06-29,V,49.6,,V,49.6,1.6,V,1.9,,V,1.9,2720,ft^3/s,Approved
1990-06-30,V,58.8,,V,58.8,1.3,V,0.1,,V,0.1,2580,ft^3/s,Approved
1990-07-01,V,54.0,,V,54.0,1.2,E,0.0,,E,0.0,2500,ft^3/s,Approved
1990-07-02,V,57.9,,V,57.9,1.0,E,0.0,,E,0.0,2370,ft^3/s,Approved
1990-07-03,V,47.5,,V,47.5,0.9,E,0.0,,E,0.0,2330,ft^3/s,Approved
1990-07-04,V,48.2,,V,48.2,0.8,E,0.0,,E,0.0,1990,ft^3/s,Approved
1990-07-05,V,62.8,,V,62.8,0.6,V,0.0,,V,0.0,1840,ft^3/s,Approved
1990-07-06,V,55.6,,V,55.6,0.5,E,0.0,,E,0.0,1780,ft^3/s,Approved
1990-07-07,V,48.4,,V,48.4,0.4,E,0.0,,E,0.0,1660,ft^3/s,Approved
1990-07-08,V,52.3,,V,52.3,0.3,E,0.0,,E,0.0,1530,ft^3/s,Approved
1990-07-09,V,54.1,,V,54.1,0.2,E,0.0,,E,0.0,1460,ft^3/s,Approved
1990-07-10,V,53.6,,V,53.6,0.1,E,0.0,,E,0.0,1390,ft^3/s,Approved
1990-07-11,V,55.0,,V,55.0,0.0,E,0.0,,E,0.0,1300,ft^3/s,Approved
1990-07-12,V,57.9,,V,57.9,0.0,E,0.0,,E,0.0,1250,ft^3/s,Approved
1990-07-13,V,53.6,,V,53.6,0.0,E,0.0,,E,0.0,1210,ft^3/s,Approved
1990-07-14,V,54.5,,V,54.5,0.0,E,0.0,,E,0.0,1170,ft^3/s,Approved
1990-07-15,V,54.7,,V,54.7,0.0,E,0.0,,E,0.0,1110,ft^3/s,Approved
1990-07-16,V,59.0,,V,59.0,0.0,E,0.0,,E,0.0,1060,ft^3/s,Approved
1990-07-17,V,56.8,,V,56.8,0.0,E,0.0,,E,0.0,1010,ft^3/s,Approved
1990-07-18,V,53.2,,V,53.2,0.0,E,0.0,,E,0.0,965,ft^3/s,Approved
1990-07-19,V,52.9,,V,52.9,0.0,E,0.0,,E,0.0,932,ft^3/s,Approved
1990-07-20,V,43.0,,V,43.0,0.0,E,0.0,,E,0.0,920,ft^3/s,Approved
1990-07-21,V,42.8,,V,42.8,0.0,E,0.0,,E,0.0,908,ft^3/s,Approved
1990-07-22,V,45.5,,V,45.5,0.0,E,0.0,,E,0.0,854,ft^3/s,Approved
1990-07-23,V,50.2,,V,50.2,0.0,E,0.0,,E,0.0,827,ft^3/s,Approved
1990-07-24,V,47.3,,V,47.3,0.0,E,0.0,,E,0.0,823,ft^3/s,Approved
1990-07-25,V,50.0,,V,50.0,0.0,E,0.0,,E,0.0,834,ft^3/s,Approved
1990-07-26,V,41.9,,V,41.9,0.0,E,0.0,,E,0.0,858,ft^3/s,Approved
1990-07-27,V,44.4,,V,44.4,0.0,E,0.0,,E,0.0,836,ft^3/s,Approved
1990-07-28,V,42.6,,V,42.6,0.0,E,0.0,,E,0.0,792,ft^3/s,Approved
1990-07-29,V,46.0,,V,46.0,0.0,E,0.0,,E,0.0,771,ft^3/s,Approved
1990-07-30,V,51.1,,V,51.1,0.0,E,0.0,,E,0.0,742,ft^3/s,Approved
1990-07-31,V,49.5,,V,49.5,0.0,E,0.0,,E,0.0,730,ft^3/s,Approved
1990-08-01,V,48.7,,V,48.7,0.0,V,0.0,,V,0.0,714,ft^3/s,Approved
1990-08-02,V,50.7,,V,50.7,0.0,V,0.0,,V,0.0,684,ft^3/s,Approved
1990-08-03,V,48.2,,V,48.2,0.0,V,0.0,,V,0.0,669,ft^3/s,Approved
1990-08-04,V,50.7,,V,50.7,0.0,V,0.0,,V,0.0,657,ft^3/s,Approved
1990-08-05,V,54.3,,V,54.3,0.0,V,0.0,,V,0.0,634,ft^3/s,Approved
1990-08-06,V,60.1,,V,60.1,0.0,E,0.0,,E,0.0,616,ft^3/s,Approved
1990-08-07,V,59.9,,V,59.9,0.0,V,0.0,,V,0.0,599,ft^3/s,Approved
