date,agency_cd,site_no,CFS,status
1990-04-07,USGS,06043500,529,A
1990-04-08,USGS,06043500,549,A
1990-04-09,USGS,06043500,563,A
1990-04-10,USGS,06043500,556,A
1990-04-11,USGS,06043500,532,A
1990-04-12,USGS,06043500,562,A
1990-04-13,USGS,06043500,536,A
1990-04-14,USGS,06043500,636,A
1990-04-15,USGS,06043500,786,A
1990-04-16,USGS,06043500,887,A
1990-04-17,USGS,06043500,871,A
1990-04-18,USGS,06043500,997,A
1990-04-19,USGS,06043500,1140,A
1990-04-20,USGS,06043500,1340,A
1990-04-21,USGS,06043500,1540,A
1990-04-22,USGS,06043500,1630,A
1990-04-23,USGS,06043500,1680,A
1990-04-24,USGS,06043500,1620,A
1990-04-25,USGS,06043500,1420,A
1990-04-26,USGS,06043500,1360,A
1990-04-27,USGS,06043500,1200,A
1990-04-28,USGS,06043500,1160,A
1990-04-29,USGS,06043500,1000,A
1990-04-30,USGS,06043500,958,A
1990-05-01,USGS,06043500,866,A
1990-05-02,USGS,06043500,912,A
1990-05-03,USGS,06043500,888,A
1990-05-04,USGS,06043500,907,A
1990-05-05,USGS,06043500,996,A
1990-05-06,USGS,06043500,1300,A
1990-05-07,USGS,06043500,1710,A
1990-05-08,USGS,06043500,1500,A
1990-05-09,USGS,06043500,1360,A
1990-05-10,USGS,06043500,1280,A
1990-05-11,USGS,06043500,1280,A
1990-05-12,USGS,06043500,1200,A
1990-05-13,USGS,06043500,1250,A
1990-05-14,USGS,06043500,1230,A
1990-05-15,USGS,06043500,1280,A
1990-05-16,USGS,06043500,1190,A
1990-05-17,USGS,06043500,1160,A
1990-05-18,USGS,06043500,1190,A
1990-05-19,USGS,06043500,1270,A
1990-05-20,USGS,06043500,1300,A
1990-05-21,USGS,06043500,1320,A
1990-05-22,USGS,06043500,1400,A
1990-05-23,USGS,06043500,1670,A
1990-05-24,USGS,06043500,2210,A
1990-05-25,USGS,06043500,2250,A
1990-05-26,USGS,06043500,1950,A
1990-05-27,USGS,06043500,1830,A
1990-05-28,USGS,06043500,1950,A
1990-05-29,USGS,06043500,2380,A
1990-05-30,USGS,06043500,2670,A
1990-05-31,USGS,06043500,2740,A
1990-06-01,USGS,06043500,2450,A
1990-06-02,USGS,06043500,2180,A
1990-06-03,USGS,06043500,1980,A
1990-06-04,USGS,06043500,2110,A
1990-06-05,USGS,06043500,2250,A
1990-06-06,USGS,06043500,2260,A
1990-06-07,USGS,06043500,2590,A
1990-06-08,USGS,06043500,2700,A
1990-06-09,USGS,06043500,2680,A
1990-06-10,USGS,06043500,3840,A
1990-06-11,USGS,06043500,4800,A
1990-06-12,USGS,06043500,3610,A
1990-06-13,USGS,06043500,2910,A
1990-06-14,USGS,06043500,2630,A
1990-06-15,USGS,06043500,2600,A
1990-06-16,USGS,06043500,2560,A
1990-06-17,USGS,06043500,2510,A
1990-06-18,USGS,06043500,2690,A
1990-06-19,USGS,06043500,2930,A
1990-06-20,USGS,06043500,2880,A
1990-06-21,USGS,06043500,3080,A
1990-06-22,USGS,06043500,3220,A
1990-06-23,USGS,06043500,3440,A
1990-06-24,USGS,06043500,3620,A
1990-06-25,USGS,06043500,3600,A
1990-06-26,USGS,06043500,3420,A
1990-06-27,USGS,06043500,3270,A
1990-06-28,USGS,06043500,3010,A
1990-06-29,USGS,06043500,2720,A
1990-06-30,USGS,06043500,2580,A
1990-07-01,USGS,06043500,2500,A
1990-07-02,USGS,06043500,2370,A
1990-07-03,USGS,06043500,2330,A
1990-07-04,USGS,06043500,1990,A
1990-07-05,USGS,06043500,1840,A
1990-07-06,USGS,06043500,1780,A
1990-07-07,USGS,06043500,1660,A
1990-07-08,USGS,06043500,1530,A
1990-07-09,USGS,06043500,1460,A
1990-07-10,USGS,06043500,1390,A
1990-07-11,USGS,06043500,1300,A
1990-07-12,USGS,06043500,1250,A
1990-07-13,USGS,06043500,1210,A
1990-07-14,USGS,06043500,1170,A
1990-07-15,USGS,06043500,1110,A
1990-07-16,USGS,06043500,1060,A
1990-07-17,USGS,06043500,1010,A
1990-07-18,USGS,06043500,965,A
1990-07-19,USGS,06043500,932,A
1990-07-20,USGS,06043500,920,A
1990-07-21,USGS,06043500,908,A
1990-07-22,USGS,06043500,854,A
1990-07-23,USGS,06043500,827,A
1990-07-24,USGS,06043500,823,A
1990-07-25,USGS,06043500,834,A
1990-07-26,USGS,06043500,858,A
1990-07-27,USGS,06043500,836,A
1990-07-28,USGS,06043500,792,A
1990-07-29,USGS,06043500,771,A
1990-07-30,USGS,06043500,742,A
1990-07-31,USGS,06043500,730,A
1990-08-01,USGS,06043500,714,A
1990-08-02,USGS,06043500,684,A
1990-08-03,USGS,06043500,669,A
1990-08-04,USGS,06043500,657,A
1990-08-05,USGS,06043500,634,A
1990-08-06,USGS,06043500,616,A
1990-08-07,USGS,06043500,599,A
1990-08-08,USGS,06043500,591,A
1990-08-09,USGS,06043500,582,A
1990-08-10,USGS,06043500,594,A
1990-08-11,USGS,06043500,615,A
1990-08-12,USGS,06043500,605,A
1990-08-13,USGS,06043500,583,A
1990-08-14,USGS,06043500,557,A
1990-08-15,USGS,06043500,543,A
1990-08-16,USGS,06043500,539,A
1990-08-17,USGS,06043500,615,A
1990-08-18,USGS,06043500,605,A
1990-08-19,USGS,06043500,574,A
1990-08-20,USGS,06043500,579,A
1990-08-21,USGS,06043500,555,A
1990-08-22,USGS,06043500,528,A
1990-08-23,USGS,06043500,529,A
1990-08-24,USGS,06043500,560,A
1990-08-25,USGS,06043500,541,A
1990-08-26,USGS,06043500,568,A
1990-08-27,USGS,06043500,527,A
1990-08-28,USGS,06043500,501,A
1990-08-29,USGS,06043500,485,A
1990-08-30,USGS,06043500,474,A
1990-08-31,USGS,06043500,471,A
1990-09-01,USGS,06043500,465,A
1990-09-02,USGS,06043500,459,A
1990-09-03,USGS,06043500,472,A
1990-09-04,USGS,06043500,483,A
1990-09-05,USGS,06043500,473,A
1990-09-06,USGS,06043500,484,A
1990-09-07,USGS,06043500,453,A
1990-09-08,USGS,06043500,444,A
1990-09-09,USGS,06043500,440,A
1990-09-10,USGS,06043500,435,A
1990-09-11,USGS,06043500,428,A
1990-09-12,USGS,06043500,422,A
1990-09-13,USGS,06043500,413,A
1990-09-14,USGS,06043500,409,A
1990-09-15,USGS,06043500,404,A
1990-09-16,USGS,06043500,397,A
1990-09-17,USGS,06043500,396,A
1990-09-18,USGS,06043500,397,A
1990-09-19,USGS,06043500,398,A
1990-09-20,USGS,06043500,400,A
1990-09-21,USGS,06043500,398,A
1990-09-22,USGS,06043500,392,A
1990-09-23,USGS,06043500,386,A
1990-09-24,USGS,06043500,382,A
1990-09-25,USGS,06043500,381,A
1990-09-26,USGS,06043500,379,A
1990-09-27,USGS,06043500,400,A
1990-09-28,USGS,06043500,388,A
1990-09-29,USGS,06043500,382,A
1990-09-30,USGS,06043500,378,A
1990-10-01,USGS,06043500,375,A
1990-10-02,USGS,06043500,379,A
1990-10-03,USGS,06043500,376,A
1990-10-04,USGS,06043500,383,A
1990-10-05,USGS,06043500,383,A
1990-10-06,USGS,06043500,421,A
1990-10-07,USGS,06043500,395,A
1990-10-08,USGS,06043500,389,A
1990-10-09,USGS,06043500,379,A
1990-10-10,USGS,06043500,410,A
1990-10-11,USGS,06043500,403,A
1990-10-12,USGS,06043500,387,A
1990-10-13,USGS,06043500,389,A
1990-10-14,USGS,06043500,380,A
1990-10-15,USGS,06043500,388,A
1990-10-16,USGS,06043500,407,A
1990-10-17,USGS,06043500,376,A
1990-10-18,USGS,06043500,379,A
1990-10-19,USGS,06043500,419,A
1990-10-20,USGS,06043500,389,A
1990-10-21,USGS,06043500,351,A
1990-10-22,USGS,06043500,401,A
1990-10-23,USGS,06043500,379,A
1990-10-24,USGS,06043500,380,A
1990-10-25,USGS,06043500,381,A
1990-10-26,USGS,06043500,395,A
1990-10-27,USGS,06043500,382,A
1990-10-28,USGS,06043500,378,A
1990-10-29,USGS,06043500,384,A
1990-10-30,USGS,06043500,377,A
1990-10-31,USGS,06043500,374,A
1990-11-01,USGS,06043500,384,A
1990-11-02,USGS,06043500,359,A
1990-11-03,USGS,06043500,297,A
1990-11-04,USGS,06043500,371,A
1990-11-05,USGS,06043500,381,A
1990-11-06,USGS,06043500,341,A
1990-11-07,USGS,06043500,281,A
1990-11-08,USGS,06043500,350,A
1990-11-09,USGS,06043500,365,A
1990-11-10,USGS,06043500,367,A
1990-11-11,USGS,06043500,348,A
1990-11-12,USGS,06043500,341,A
1990-11-13,USGS,06043500,343,A
1990-11-14,USGS,06043500,357,A
1990-11-15,USGS,06043500,356,A
1990-11-16,USGS,06043500,304,A
1990-11-17,USGS,06043500,336,A
1990-11-18,USGS,06043500,358,A
1990-11-19,USGS,06043500,342,A
1990-11-20,USGS,06043500,353,A
1990-11-21,USGS,06043500,315,A
1990-11-22,USGS,06043500,333,A
1990-11-23,USGS,06043500,334,A
1990-11-24,USGS,06043500,335,A
1990-11-25,USGS,06043500,336,A
1990-11-26,USGS,06043500,341,A
1990-11-27,USGS,06043500,268,A
1990-11-28,USGS,06043500,287,A
1990-11-29,USGS,06043500,304,A
1990-11-30,USGS,06043500,314,A
1990-12-01,USGS,06043500,265,A
1990-12-02,USGS,06043500,265,A
1990-12-03,USGS,06043500,244,A
1990-12-04,USGS,06043500,241,A
1990-12-05,USGS,06043500,267,A
1990-12-06,USGS,06043500,249,A
1990-12-07,USGS,06043500,231,A
1990-12-08,USGS,06043500,239,A
1990-12-09,USGS,06043500,270,A
1990-12-10,USGS,06043500,282,A
1990-12-11,USGS,06043500,308,A
1990-12-12,USGS,06043500,275,A
1990-12-13,USGS,06043500,264,A
1990-12-14,USGS,06043500,290,A
1990-12-15,USGS,06043500,257,A
1990-12-16,USGS,06043500,261,A
1990-12-17,USGS,06043500,274,A
1990-12-18,USGS,06043500,285,A
1990-12-19,USGS,06043500,220,A:e
1990-12-20,USGS,06043500,200,A:e
1990-12-21,USGS,06043500,190,A:e
1990-12-22,USGS,06043500,180,A:e
1990-12-23,USGS,06043500,190,A:e
1990-12-24,USGS,06043500,200,A:e
1990-12-25,USGS,06043500,210,A:e
1990-12-26,USGS,06043500,200,A:e
1990-12-27,USGS,06043500,210,A:e
1990-12-28,USGS,06043500,230,A:e
1990-12-29,USGS,06043500,220,A:e
1990-12-30,USGS,06043500,210,A:e
1990-12-31,USGS,06043500,200,A:e
1991-01-01,USGS,06043500,230,A:e
1991-01-02,USGS,06043500,250,A:e
1991-01-03,USGS,06043500,240,A:e
1991-01-04,USGS,06043500,230,A:e
1991-01-05,USGS,06043500,230,A:e
1991-01-06,USGS,06043500,250,A:e
1991-01-07,USGS,06043500,260,A:e
1991-01-08,USGS,06043500,270,A:e
1991-01-09,USGS,06043500,280,A:e
1991-01-10,USGS,06043500,293,A
1991-01-11,USGS,06043500,294,A
1991-01-12,USGS,06043500,293,A
1991-01-13,USGS,06043500,295,A
1991-01-14,USGS,06043500,298,A
1991-01-15,USGS,06043500,290,A
1991-01-16,USGS,06043500,288,A
1991-01-17,USGS,06043500,287,A
1991-01-18,USGS,06043500,282,A
1991-01-19,USGS,06043500,289,A
1991-01-20,USGS,06043500,270,A
1991-01-21,USGS,06043500,249,A
1991-01-22,USGS,06043500,261,A
1991-01-23,USGS,06043500,267,A
1991-01-24,USGS,06043500,277,A
1991-01-25,USGS,06043500,250,A:e
1991-01-26,USGS,06043500,230,A:e
1991-01-27,USGS,06043500,250,A:e
1991-01-28,USGS,06043500,230,A:e
1991-01-29,USGS,06043500,210,A:e
1991-01-30,USGS,06043500,250,A:e
1991-01-31,USGS,06043500,281,A
1991-02-01,USGS,06043500,283,A
1991-02-02,USGS,06043500,284,A
1991-02-03,USGS,06043500,286,A
1991-02-04,USGS,06043500,285,A
1991-02-05,USGS,06043500,286,A
1991-02-06,USGS,06043500,287,A
1991-02-07,USGS,06043500,277,A
1991-02-08,USGS,06043500,274,A
1991-02-09,USGS,06043500,277,A
1991-02-10,USGS,06043500,283,A
1991-02-11,USGS,06043500,275,A
1991-02-12,USGS,06043500,275,A
1991-02-13,USGS,06043500,291,A
1991-02-14,USGS,06043500,286,A
1991-02-15,USGS,06043500,287,A
1991-02-16,USGS,06043500,303,A
1991-02-17,USGS,06043500,296,A
1991-02-18,USGS,06043500,282,A
1991-02-19,USGS,06043500,267,A
1991-02-20,USGS,06043500,271,A
1991-02-21,USGS,06043500,286,A
1991-02-22,USGS,06043500,286,A
1991-02-23,USGS,06043500,283,A
1991-02-24,USGS,06043500,280,A
1991-02-25,USGS,06043500,268,A
1991-02-26,USGS,06043500,257,A
1991-02-27,USGS,06043500,257,A
1991-02-28,USGS,06043500,261,A
1991-03-01,USGS,06043500,250,A:e
1991-03-02,USGS,06043500,230,A:e
1991-03-03,USGS,06043500,260,A:e
1991-03-04,USGS,06043500,269,A
1991-03-05,USGS,06043500,287,A
1991-03-06,USGS,06043500,254,A
1991-03-07,USGS,06043500,242,A
1991-03-08,USGS,06043500,256,A
1991-03-09,USGS,06043500,254,A
1991-03-10,USGS,06043500,260,A
1991-03-11,USGS,06043500,280,A
1991-03-12,USGS,06043500,258,A
1991-03-13,USGS,06043500,264,A
1991-03-14,USGS,06043500,268,A
1991-03-15,USGS,06043500,270,A
1991-03-16,USGS,06043500,270,A
1991-03-17,USGS,06043500,269,A
1991-03-18,USGS,06043500,263,A
1991-03-19,USGS,06043500,272,A
1991-03-20,USGS,06043500,282,A
1991-03-21,USGS,06043500,277,A
1991-03-22,USGS,06043500,271,A
1991-03-23,USGS,06043500,268,A
1991-03-24,USGS,06043500,268,A
1991-03-25,USGS,06043500,265,A
1991-03-26,USGS,06043500,270,A
1991-03-27,USGS,06043500,261,A
1991-03-28,USGS,06043500,257,A
1991-03-29,USGS,06043500,263,A
1991-03-30,USGS,06043500,256,A
1991-03-31,USGS,06043500,272,A
1991-04-01,USGS,06043500,296,A
1991-04-02,USGS,06043500,308,A
1991-04-03,USGS,06043500,331,A
1991-04-04,USGS,06043500,321,A
1991-04-05,USGS,06043500,378,A
1991-04-06,USGS,06043500,435,A
1991-04-07,USGS,06043500,415,A
1991-04-08,USGS,06043500,347,A
1991-04-09,USGS,06043500,318,A
1991-04-10,USGS,06043500,324,A
1991-04-11,USGS,06043500,310,A
1991-04-12,USGS,06043500,300,A
1991-04-13,USGS,06043500,295,A
1991-04-14,USGS,06043500,297,A
1991-04-15,USGS,06043500,298,A
1991-04-16,USGS,06043500,303,A
1991-04-17,USGS,06043500,297,A
1991-04-18,USGS,06043500,293,A
1991-04-19,USGS,06043500,293,A
1991-04-20,USGS,06043500,299,A
1991-04-21,USGS,06043500,335,A
1991-04-22,USGS,06043500,384,A
1991-04-23,USGS,06043500,431,A
1991-04-24,USGS,06043500,461,A
1991-04-25,USGS,06043500,484,A
1991-04-26,USGS,06043500,430,A
1991-04-27,USGS,06043500,386,A
1991-04-28,USGS,06043500,371,A
1991-04-29,USGS,06043500,357,A
1991-04-30,USGS,06043500,350,A
1991-05-01,USGS,06043500,337,A
1991-05-02,USGS,06043500,357,A
1991-05-03,USGS,06043500,346,A
1991-05-04,USGS,06043500,337,A
1991-05-05,USGS,06043500,335,A
1991-05-06,USGS,06043500,372,A
1991-05-07,USGS,06043500,460,A
1991-05-08,USGS,06043500,601,A
1991-05-09,USGS,06043500,890,A
1991-05-10,USGS,06043500,732,A
1991-05-11,USGS,06043500,770,A
1991-05-12,USGS,06043500,949,A
1991-05-13,USGS,06043500,926,A
1991-05-14,USGS,06043500,1190,A
1991-05-15,USGS,06043500,1420,A
1991-05-16,USGS,06043500,1460,A
1991-05-17,USGS,06043500,1890,A
1991-05-18,USGS,06043500,2830,A
1991-05-19,USGS,06043500,2800,A
1991-05-20,USGS,06043500,2940,A
1991-05-21,USGS,06043500,3300,A
1991-05-22,USGS,06043500,3540,A
1991-05-23,USGS,06043500,3880,A
1991-05-24,USGS,06043500,4060,A
1991-05-25,USGS,06043500,4530,A
1991-05-26,USGS,06043500,4520,A
1991-05-27,USGS,06043500,3460,A
1991-05-28,USGS,06043500,2890,A
1991-05-29,USGS,06043500,2670,A
1991-05-30,USGS,06043500,2570,A
1991-05-31,USGS,06043500,2750,A
1991-06-01,USGS,06043500,2760,A
1991-06-02,USGS,06043500,3650,A
1991-06-03,USGS,06043500,4950,A
1991-06-04,USGS,06043500,5380,A
1991-06-05,USGS,06043500,7240,A
1991-06-06,USGS,06043500,6840,A
1991-06-07,USGS,06043500,6270,A
1991-06-08,USGS,06043500,5800,A
1991-06-09,USGS,06043500,5180,A
1991-06-10,USGS,06043500,5180,A
1991-06-11,USGS,06043500,5560,A
1991-06-12,USGS,06043500,5980,A
1991-06-13,USGS,06043500,5420,A
1991-06-14,USGS,06043500,4630,A
1991-06-15,USGS,06043500,3660,A
1991-06-16,USGS,06043500,3420,A
1991-06-17,USGS,06043500,3450,A
1991-06-18,USGS,06043500,3270,A
1991-06-19,USGS,06043500,3260,A
1991-06-20,USGS,06043500,3400,A
1991-06-21,USGS,06043500,3270,A
1991-06-22,USGS,06043500,3090,A
1991-06-23,USGS,06043500,2870,A
1991-06-24,USGS,06043500,2700,A
1991-06-25,USGS,06043500,2630,A
1991-06-26,USGS,06043500,2430,A
1991-06-27,USGS,06043500,2300,A
1991-06-28,USGS,06043500,2250,A
1991-06-29,USGS,06043500,2100,A
1991-06-30,USGS,06043500,2130,A
1991-07-01,USGS,06043500,2090,A
1991-07-02,USGS,06043500,1980,A
1991-07-03,USGS,06043500,1920,A
1991-07-04,USGS,06043500,1900,A
